Country,Population,Area,Areami
Swaziland,"1,370,424",0.007,6704
Sweden,"9,088,728",0.174,173731
Switzerland,"7,639,961",0.016,15942
Syria,"22,517,750",0.071,71498
Taiwan,"23,071,779",0.014,13892
Tajikistan,"7,627,200",0.055,55251
Tanzania,"42,746,620",0.365,364898
Thailand,"66,720,153",0.198,198455
Timor-Leste,"1,177,834",0.006,5641
Togo,"6,771,993",0.022,21925
Tonga,"105,916",0,289
Trinidad and Tobago,"1,227,505",0.002,1980
Tunisia,"10,629,186",0.063,63170
Turkey,"78,785,548",0.301,301382
Turkmenistan,"4,997,503",0.188,188455
Tuvalu,"10,544",0,10
Uganda,"34,612,250",0.091,91135
Ukraine,"45,134,707",0.233,233089
United Arab Emirates,"5,148,664",0.032,32000
United Kingdom,"62,698,362",0.095,94525
USA,"313,232,044",3.719,3718691
Uruguay,"3,308,535",0.068,68039
Uzbekistan,"28,128,600",0.173,172741
Vanuatu,"224,564",0.005,4710
Vatican City,832,0,0
Venezuela,"27,635,743",0.352,352143
Vietnam,"90,549,390",0.127,127243
Western Sahara,"507,160",0.103,102703
Yemen,"24,133,492",0.204,203849
Zambia,"13,881,336",0.291,290584
Zimbabwe,"12,084,304",0.151,150803
N/A,,1,1
